symbol,company_name,exchange,sector,type,yahoo_symbol,isin
ALLCARGO,Allcargo Logistics Limited,NSE,Equity,STOCK,ALLCARGO.NS,INE418H01029
ALLDIGI,Alldigi Tech Limited,NSE,Equity,STOCK,ALLDIGI.NS,INE835G01018
ALLTIME,All Time Plastics Limited,NSE,Equity,STOCK,ALLTIME.NS,INE0GV601021
ALMONDZ,Almondz Global Securities Limited,NSE,Equity,STOCK,ALMONDZ.NS,INE326B01035
ALOKINDS,Alok Industries Limited,NSE,Equity,STOCK,ALOKINDS.NS,INE270A01029
ALPA,Alpa Laboratories Limited,NSE,Equity,STOCK,ALPA.NS,INE385I01010
ALPHAGEO,Alphageo (India) Limited,NSE,Equity,STOCK,ALPHAGEO.NS,INE137C01018
AMAGI,Amagi Media Labs Limited,NSE,Equity,STOCK,AMAGI.NS,INE121R01077
AMANTA,Amanta Healthcare Limited,NSE,Equity,STOCK,AMANTA.NS,INE084K01015
AMBALALSA,Ambalal Sarabhai Enterprises Limited,NSE,Equity,STOCK,AMBALALSA.NS,INE432A01017
AMBER,Amber Enterprises India Limited,NSE,Equity,STOCK,AMBER.NS,INE371P01015
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,NSE,Equity,STOCK,AMBICAAGAR.NS,INE792B01012
AMBIKCO,Ambika Cotton Mills Limited,NSE,Equity,STOCK,AMBIKCO.NS,INE540G01014
AMBUJACEM,Ambuja Cements Limited,NSE,Equity,STOCK,AMBUJACEM.NS,INE079A01024
AMDIND,AMD Industries Limited,NSE,Equity,STOCK,AMDIND.NS,INE005I01014
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,NSE,Equity,STOCK,AMIRCHAND.NS,INE05TO01019
AMJLAND,Amj Land Holdings Limited,NSE,Equity,STOCK,AMJLAND.NS,INE606A01024
AMNPLST,Amines & Plasticizers Limited,NSE,Equity,STOCK,AMNPLST.NS,INE275D01022
AMRUTANJAN,Amrutanjan Health Care Limited,NSE,Equity,STOCK,AMRUTANJAN.NS,INE098F01031
ANANDRATHI,Anand Rathi Wealth Limited,NSE,Equity,STOCK,ANANDRATHI.NS,INE463V01026
ANANTRAJ,Anant Raj Limited,NSE,Equity,STOCK,ANANTRAJ.NS,INE242C01024
ANDHRAPAP,ANDHRA PAPER LIMITED,NSE,Equity,STOCK,ANDHRAPAP.NS,INE435A01051
ANDHRSUGAR,The Andhra Sugars Limited,NSE,Equity,STOCK,ANDHRSUGAR.NS,INE715B01021
ANGELONE,Angel One Limited,NSE,Equity,STOCK,ANGELONE.NS,INE732I01021
ANMOL,Anmol India Limited,NSE,Equity,STOCK,ANMOL.NS,INE02AR01019
ANTELOPUS,Antelopus Selan Energy Limited,NSE,Equity,STOCK,ANTELOPUS.NS,INE818A01017
ANTGRAPHIC,Antarctica Limited,NSE,Equity,STOCK,ANTGRAPHIC.NS,INE414B01021
ANTHEM,Anthem Biosciences Limited,NSE,Equity,STOCK,ANTHEM.NS,INE0CZ201020
ANUHPHR,Anuh Pharma Limited,NSE,Equity,STOCK,ANUHPHR.NS,INE489G01022
ANUP,The Anup Engineering Limited,NSE,Equity,STOCK,ANUP.NS,INE294Z01018
ANURAS,Anupam Rasayan India Limited,NSE,Equity,STOCK,ANURAS.NS,INE930P01018
APARINDS,Apar Industries Limited,NSE,Equity,STOCK,APARINDS.NS,INE372A01015
APCL,Anjani Portland Cement Limited,NSE,Equity,STOCK,APCL.NS,INE071F01012
APCOTEXIND,Apcotex Industries Limited,NSE,Equity,STOCK,APCOTEXIND.NS,INE116A01032
APEX,Apex Frozen Foods Limited,NSE,Equity,STOCK,APEX.NS,INE346W01013
APLAPOLLO,APL Apollo Tubes Limited,NSE,Equity,STOCK,APLAPOLLO.NS,INE702C01027
APLLTD,Alembic Pharmaceuticals Limited,NSE,Equity,STOCK,APLLTD.NS,INE901L01018
APOLLO,Apollo Micro Systems Limited,NSE,Equity,STOCK,APOLLO.NS,INE713T01028
APOLLOHOSP,Apollo Hospitals Enterprise Limited,NSE,Equity,STOCK,APOLLOHOSP.NS,INE437A01024
APOLLOPIPE,Apollo Pipes Limited,NSE,Equity,STOCK,APOLLOPIPE.NS,INE126J01016
APOLLOTYRE,Apollo Tyres Limited,NSE,Equity,STOCK,APOLLOTYRE.NS,INE438A01022
APOLSINHOT,Apollo Sindoori Hotels Limited,NSE,Equity,STOCK,APOLSINHOT.NS,INE451F01024
APTECHT,Aptech Limited,NSE,Equity,STOCK,APTECHT.NS,INE266F01018
APTUS,Aptus Value Housing Finance India Limited,NSE,Equity,STOCK,APTUS.NS,INE852O01025
AQYLON,Aqylon Nexus Limited,NSE,Equity,STOCK,AQYLON.NS,INE416A01051
ARCHIDPLY,Archidply Industries Limited,NSE,Equity,STOCK,ARCHIDPLY.NS,INE877I01016
ARCHIES,Archies Limited,NSE,Equity,STOCK,ARCHIES.NS,INE731A01020
ARE&M,Amara Raja Energy & Mobility Limited,NSE,Equity,STOCK,ARE&M.NS,INE885A01032
ARENTERP,Rajdarshan Industries Limited,NSE,Equity,STOCK,ARENTERP.NS,INE610C01014
ARFIN,Arfin India Limited,NSE,Equity,STOCK,ARFIN.NS,INE784R01023
ARIES,Aries Agro Limited,NSE,Equity,STOCK,ARIES.NS,INE298I01015
ARIHANT,Arihant Foundations & Housing Limited,NSE,Equity,STOCK,ARIHANT.NS,INE413D01011
ARIHANTCAP,Arihant Capital Markets Limited,NSE,Equity,STOCK,ARIHANTCAP.NS,INE420B01036
ARIHANTSUP,Arihant Superstructures Limited,NSE,Equity,STOCK,ARIHANTSUP.NS,INE643K01018
ARIS,Arisinfra Solutions Limited,NSE,Equity,STOCK,ARIS.NS,INE0H9P01028
ARKADE,Arkade Developers Limited,NSE,Equity,STOCK,ARKADE.NS,INE0QRL01017
ARMANFIN,Arman Financial Services Limited,NSE,Equity,STOCK,ARMANFIN.NS,INE109C01017
AROGRANITE,Aro Granite Industries Limited,NSE,Equity,STOCK,AROGRANITE.NS,INE210C01013
ARROWGREEN,Arrow Greentech Limited,NSE,Equity,STOCK,ARROWGREEN.NS,INE570D01018
ARSSBL,Anand Rathi Share and Stock Brokers Limited,NSE,Equity,STOCK,ARSSBL.NS,INE549H01021
ARTEMISMED,Artemis Medicare Services Limited,NSE,Equity,STOCK,ARTEMISMED.NS,INE025R01021
ARVEE,Arvee Laboratories (India) Limited,NSE,Equity,STOCK,ARVEE.NS,INE006Z01016
ARVIND,Arvind Limited,NSE,Equity,STOCK,ARVIND.NS,INE034A01011
ARVINDFASN,Arvind Fashions Limited,NSE,Equity,STOCK,ARVINDFASN.NS,INE955V01021
ARVSMART,Arvind SmartSpaces Limited,NSE,Equity,STOCK,ARVSMART.NS,INE034S01021
ASAHIINDIA,Asahi India Glass Limited,NSE,Equity,STOCK,ASAHIINDIA.NS,INE439A01020
ASAHISONG,Asahi Songwon Colors Limited,NSE,Equity,STOCK,ASAHISONG.NS,INE228I01012
ASAL,Automotive Stampings and Assemblies Limited,NSE,Equity,STOCK,ASAL.NS,INE900C01027
ASALCBR,Associated Alcohols & Breweries Ltd.,NSE,Equity,STOCK,ASALCBR.NS,INE073G01016
ASHAPURMIN,Ashapura Minechem Limited,NSE,Equity,STOCK,ASHAPURMIN.NS,INE348A01023
ASHIANA,Ashiana Housing Limited,NSE,Equity,STOCK,ASHIANA.NS,INE365D01021
ASHIKA,Ashika Credit Capital Limited,NSE,Equity,STOCK,ASHIKA.NS,INE094B01013
ASHIMASYN,Ashima Limited,NSE,Equity,STOCK,ASHIMASYN.NS,INE440A01010
ASHOKA,Ashoka Buildcon Limited,NSE,Equity,STOCK,ASHOKA.NS,INE442H01029
ASHOKAMET,Ashoka Metcast Limited,NSE,Equity,STOCK,ASHOKAMET.NS,INE760Y01011
ASHOKLEY,Ashok Leyland Limited,NSE,Equity,STOCK,ASHOKLEY.NS,INE208A01029
ASIANENE,Asian Energy Services Limited,NSE,Equity,STOCK,ASIANENE.NS,INE276G01015
ASIANHOTNR,Asian Hotels (North) Limited,NSE,Equity,STOCK,ASIANHOTNR.NS,INE363A01022
ASIANPAINT,Asian Paints Limited,NSE,Equity,STOCK,ASIANPAINT.NS,INE021A01026
ASIANTILES,Asian Granito India Limited,NSE,Equity,STOCK,ASIANTILES.NS,INE022I01019
ASKAUTOLTD,ASK Automotive Limited,NSE,Equity,STOCK,ASKAUTOLTD.NS,INE491J01022
ASMS,Bartronics India Limited,NSE,Equity,STOCK,ASMS.NS,INE855F01042
ASPINWALL,Aspinwall and Company Limited,NSE,Equity,STOCK,ASPINWALL.NS,INE991I01015
ASTAR,Asian Star Company Limited,NSE,Equity,STOCK,ASTAR.NS,INE194D01017
ASTEC,Astec LifeSciences Limited,NSE,Equity,STOCK,ASTEC.NS,INE563J01010
ASTERDM,Aster DM Healthcare Limited,NSE,Equity,STOCK,ASTERDM.NS,INE914M01019
ASTRAL,Astral Limited,NSE,Equity,STOCK,ASTRAL.NS,INE006I01046
ASTRAMICRO,Astra Microwave Products Limited,NSE,Equity,STOCK,ASTRAMICRO.NS,INE386C01029
ASTRAZEN,AstraZeneca Pharma India Limited,NSE,Equity,STOCK,ASTRAZEN.NS,INE203A01020
ATALREAL,Atal Realtech Limited,NSE,Equity,STOCK,ATALREAL.NS,INE0ALR01029
ATAM,Atam Valves Limited,NSE,Equity,STOCK,ATAM.NS,INE09KD01013
ATGL,Adani Total Gas Limited,NSE,Equity,STOCK,ATGL.NS,INE399L01023
ATHERENERG,Ather Energy Limited,NSE,Equity,STOCK,ATHERENERG.NS,INE0LEZ01016
ATL,Allcargo Terminals Limited,NSE,Equity,STOCK,ATL.NS,INE0NN701020
ATLANTAA,ATLANTAA LIMITED,NSE,Equity,STOCK,ATLANTAA.NS,INE285H01022
ATLANTAELE,Atlanta Electricals Limited,NSE,Equity,STOCK,ATLANTAELE.NS,INE0Z4F01028
ATLASCYCLE,Atlas Cycles (Haryana) Limited,NSE,Equity,STOCK,ATLASCYCLE.NS,INE446A01025
ATUL,Atul Limited,NSE,Equity,STOCK,ATUL.NS,INE100A01010
ATULAUTO,Atul Auto Limited,NSE,Equity,STOCK,ATULAUTO.NS,INE951D01028
AUBANK,AU Small Finance Bank Limited,NSE,Equity,STOCK,AUBANK.NS,INE949L01017
AURIGROW,Auri Grow India Limited,NSE,Equity,STOCK,AURIGROW.NS,INE925Y01036
AURIONPRO,Aurionpro Solutions Limited,NSE,Equity,STOCK,AURIONPRO.NS,INE132H01018
AUROPHARMA,Aurobindo Pharma Limited,NSE,Equity,STOCK,AUROPHARMA.NS,INE406A01037
AURUM,Aurum PropTech Limited,NSE,Equity,STOCK,AURUM.NS,INE898S01029
AUSOMENT,Ausom Enterprise Limited,NSE,Equity,STOCK,AUSOMENT.NS,INE218C01016
AUTOAXLES,Automotive Axles Limited,NSE,Equity,STOCK,AUTOAXLES.NS,INE449A01011
AUTOIND,Autoline Industries Limited,NSE,Equity,STOCK,AUTOIND.NS,INE718H01014
AVAILFC,Available Finance Limited,NSE,Equity,STOCK,AVAILFC.NS,INE325G01010
AVALON,Avalon Technologies Limited,NSE,Equity,STOCK,AVALON.NS,INE0LCL01028
AVANTEL,Avantel Limited,NSE,Equity,STOCK,AVANTEL.NS,INE005B01027
AVANTIFEED,Avanti Feeds Limited,NSE,Equity,STOCK,AVANTIFEED.NS,INE871C01038
AVG,AVG Logistics Limited,NSE,Equity,STOCK,AVG.NS,INE680Z01018
AVL,Aditya Vision Limited,NSE,Equity,STOCK,AVL.NS,INE679V01027
AVONMORE,Avonmore Capital & Management Services Limited,NSE,Equity,STOCK,AVONMORE.NS,INE323B01024
AVROIND,AVRO INDIA LIMITED,NSE,Equity,STOCK,AVROIND.NS,INE652Z01025
AVTNPL,AVT Natural Products Limited,NSE,Equity,STOCK,AVTNPL.NS,INE488D01021
AWFIS,Awfis Space Solutions Limited,NSE,Equity,STOCK,AWFIS.NS,INE108V01019
AWHCL,Antony Waste Handling Cell Limited,NSE,Equity,STOCK,AWHCL.NS,INE01BK01022
AWL,AWL Agri Business Limited,NSE,Equity,STOCK,AWL.NS,INE699H01024
AXISBANK,Axis Bank Limited,NSE,Equity,STOCK,AXISBANK.NS,INE238A01034
AXISCADES,AXISCADES Technologies Limited,NSE,Equity,STOCK,AXISCADES.NS,INE555B01013
AXITA,Axita Cotton Limited,NSE,Equity,STOCK,AXITA.NS,INE02EZ01022
AYE,Aye Finance Limited,NSE,Equity,STOCK,AYE.NS,INE501X01029
AYMSYNTEX,AYM Syntex Limited,NSE,Equity,STOCK,AYMSYNTEX.NS,INE193B01039
AZAD,Azad Engineering Limited,NSE,Equity,STOCK,AZAD.NS,INE02IJ01035
BAGFILMS,B.A.G Films and Media Limited,NSE,Equity,STOCK,BAGFILMS.NS,INE116D01028
BAIDFIN,Baid Finserv Limited,NSE,Equity,STOCK,BAIDFIN.NS,INE020D01022
BAJAJ-AUTO,Bajaj Auto Limited,NSE,Equity,STOCK,BAJAJ-AUTO.NS,INE917I01010
BAJAJCON,Bajaj Consumer Care Limited,NSE,Equity,STOCK,BAJAJCON.NS,INE933K01021
BAJAJELEC,Bajaj Electricals Limited,NSE,Equity,STOCK,BAJAJELEC.NS,INE193E01025
BAJAJFINSV,Bajaj Finserv Limited,NSE,Equity,STOCK,BAJAJFINSV.NS,INE918I01026
BAJAJHCARE,Bajaj Healthcare Limited,NSE,Equity,STOCK,BAJAJHCARE.NS,INE411U01027
BAJAJHFL,Bajaj Housing Finance Limited,NSE,Equity,STOCK,BAJAJHFL.NS,INE377Y01014
BAJAJHIND,Bajaj Hindusthan Sugar Limited,NSE,Equity,STOCK,BAJAJHIND.NS,INE306A01021
BAJAJHLDNG,Bajaj Holdings & Investment Limited,NSE,Equity,STOCK,BAJAJHLDNG.NS,INE118A01012
BAJAJINDEF,Indef Manufacturing Limited,NSE,Equity,STOCK,BAJAJINDEF.NS,INE0O9T01021
BAJAJST,Bajaj Steel Industries Limited,NSE,Equity,STOCK,BAJAJST.NS,INE704G01024
BAJEL,Bajel Projects Limited,NSE,Equity,STOCK,BAJEL.NS,INE0KQN01018
BAJFINANCE,Bajaj Finance Limited,NSE,Equity,STOCK,BAJFINANCE.NS,INE296A01032
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,NSE,Equity,STOCK,BALAJEE.NS,INE0S2G01011
BALAJITELE,Balaji Telefilms Limited,NSE,Equity,STOCK,BALAJITELE.NS,INE794B01026
BALAMINES,Balaji Amines Limited,NSE,Equity,STOCK,BALAMINES.NS,INE050E01027
BALKRISHNA,Balkrishna Paper Mills Limited,NSE,Equity,STOCK,BALKRISHNA.NS,INE875R01011
BALKRISIND,Balkrishna Industries Limited,NSE,Equity,STOCK,BALKRISIND.NS,INE787D01026
BALMLAWRIE,Balmer Lawrie & Company Limited,NSE,Equity,STOCK,BALMLAWRIE.NS,INE164A01016
BALPHARMA,Bal Pharma Limited,NSE,Equity,STOCK,BALPHARMA.NS,INE083D01012
BALRAMCHIN,Balrampur Chini Mills Limited,NSE,Equity,STOCK,BALRAMCHIN.NS,INE119A01028
BALUFORGE,Balu Forge Industries Limited,NSE,Equity,STOCK,BALUFORGE.NS,INE011E01029
BANARBEADS,Banaras Beads Limited,NSE,Equity,STOCK,BANARBEADS.NS,INE655B01011
BANARISUG,Bannari Amman Sugars Limited,NSE,Equity,STOCK,BANARISUG.NS,INE459A01010
BANCOINDIA,Banco Products (I) Limited,NSE,Equity,STOCK,BANCOINDIA.NS,INE213C01025
